table,status,rows,columns,trusted,neutral,dead,error
case,success,17628130.0,793.0,294.0,182.0,317.0,
svmxc__service_order__c,success,13700003.0,694.0,352.0,103.0,239.0,
svmxc__service_order_line__c,success,32256107.0,377.0,137.0,92.0,148.0,
permissionset,success,399.0,348.0,334.0,8.0,6.0,
profile,success,112.0,343.0,331.0,1.0,11.0,
esmx_ip_change_request__c,success,1740642.0,255.0,41.0,43.0,171.0,
svmxc__installed_product__c,success,49274548.0,253.0,90.0,42.0,121.0,
svmxc__servicemax_processes__c,success,49035.0,251.0,86.0,24.0,141.0,
user,success,109880.0,245.0,159.0,32.0,54.0,
svmxc__service_contract__c,success,1160347.0,210.0,113.0,27.0,70.0,
svmxc__quote__c,success,1809854.0,184.0,116.0,19.0,49.0,
activity__c,success,73626227.0,182.0,48.0,22.0,112.0,
svmxc__rma_shipment_line__c,success,13902527.0,174.0,60.0,28.0,86.0,
account,success,843038.0,169.0,65.0,27.0,77.0,
esmx_field_change_order__c,success,3631829.0,162.0,72.0,23.0,67.0,
svmxc__case_line__c,success,6300770.0,157.0,65.0,32.0,60.0,
da_svmxc_quote__b,success,17200.0,152.0,81.0,21.0,50.0,
defoa__c,success,64823.0,145.0,55.0,54.0,36.0,
contact,success,3599480.0,143.0,56.0,15.0,72.0,
event,success,10074885.0,140.0,77.0,15.0,48.0,
svmxc__pm_plan__c,success,1018284.0,134.0,65.0,8.0,61.0,
da_svmxc_rma_shipment_line__b,success,21937.0,133.0,52.0,14.0,67.0,
asset,success,16895423.0,131.0,57.0,31.0,43.0,
task,success,49501480.0,129.0,41.0,16.0,72.0,
svmxc__service_group_members__c,success,39716.0,129.0,38.0,45.0,46.0,
svmxc__quote_line__c,success,4187029.0,126.0,73.0,21.0,32.0,
product2,success,833058.0,122.0,42.0,19.0,61.0,
da_activity__b,success,116561.0,119.0,40.0,10.0,69.0,
da_svmxc_quote_line__b,success,33680.0,116.0,62.0,17.0,37.0,
da_svmxc_case_line__b,success,47.0,115.0,46.0,7.0,62.0,
da_event__b,success,4.0,111.0,65.0,6.0,40.0,
svmxc__rma_shipment_order__c,success,3679026.0,92.0,34.0,5.0,53.0,
esmx_bench_status_tracker__c,success,956610.0,87.0,29.0,27.0,31.0,
da_esmx_bench_status_tracker__b,success,3236.0,86.0,34.0,1.0,51.0,
question_header__c,success,9077972.0,81.0,26.0,16.0,39.0,
defoa_material__c,success,87086.0,72.0,15.0,26.0,31.0,
knowledge__kav,success,2994.0,71.0,42.0,16.0,13.0,
svmxc__pm_schedule_definition__c,success,12021223.0,69.0,40.0,7.0,22.0,
svmxc__warranty__c,success,8790629.0,69.0,51.0,5.0,13.0,
servicecontract,success,1197333.0,68.0,38.0,0.0,30.0,
esmx_contract_header__c,success,449667.0,67.0,36.0,15.0,16.0,
svmxc__site__c,success,712055.0,66.0,43.0,4.0,19.0,
da_labor__b,success,11242704.0,65.0,45.0,13.0,7.0,
prod2plantjunction__c,success,14835748.0,64.0,30.0,13.0,21.0,
contentversion,success,1855015.0,62.0,40.0,3.0,19.0,
labor__c,success,7051929.0,60.0,37.0,14.0,9.0,
svmxc__timesheet__c,success,2109454.0,59.0,40.0,2.0,17.0,
account_assignment__c,success,85269457.0,56.0,30.0,11.0,15.0,
svmxc__service_template__c,success,83.0,55.0,39.0,4.0,12.0,
svmxc__service_contract_products__c,success,10002397.0,55.0,35.0,5.0,15.0,
case_activity__c,success,51962568.0,53.0,29.0,1.0,23.0,
svmxc__pm_plan_template__c,success,1974.0,50.0,21.0,8.0,21.0,
svmxc__pm_history__c,success,3421389.0,48.0,32.0,7.0,9.0,
da_action_plan__b,success,433939.0,46.0,31.0,8.0,7.0,
svmxc__timesheet_entry__c,success,18542001.0,46.0,30.0,8.0,8.0,
svmxc__pm_schedule__c,success,1883020.0,45.0,30.0,1.0,14.0,
svmxc__service_plan__c,success,580.0,44.0,23.0,6.0,15.0,
esmx_risk_sharing_model__c,success,109177.0,43.0,20.0,9.0,14.0,
esmx_overtime__c,success,71772.0,41.0,32.0,1.0,8.0,
svmxc__pm_schedule_template__c,success,20723.0,41.0,21.0,2.0,18.0,
svmxc__service_group_product__c,success,60302.0,41.0,24.0,1.0,16.0,
svmxc__pm_coverage__c,success,1979423.0,41.0,28.0,3.0,10.0,
action_plan__c,success,185638.0,39.0,22.0,9.0,8.0,
ems_system_log__c,success,737550193.0,37.0,15.0,1.0,21.0,
svmxc__pm_offering__c,success,990167.0,37.0,27.0,4.0,6.0,
svmxc__checklist__c,success,50863.0,36.0,24.0,0.0,12.0,
queue_master__c,success,848306.0,36.0,17.0,1.0,18.0,
svmxc__service_contract_services__c,success,8058312.0,35.0,15.0,1.0,19.0,
esmx_ip_staging__c,success,97348152.0,35.0,22.0,2.0,11.0,
esmx_service_manager__c,success,90874.0,34.0,17.0,5.0,12.0,
svmxc__service_group__c,success,1854.0,33.0,16.0,4.0,13.0,
svmxc__service_level__c,success,72.0,31.0,17.0,7.0,7.0,
functional_location__c,success,2106254.0,31.0,24.0,0.0,7.0,
esmx_customer_experience__c,success,3762390.0,30.0,21.0,1.0,8.0,
svmxc__service_group_skills__c,success,5366929.0,29.0,26.0,0.0,3.0,
svmxc__skill__c,success,9577.0,28.0,18.0,0.0,10.0,
svmxc__pm_applicable_product__c,success,6742.0,28.0,19.0,4.0,5.0,
svmxc__timesheet_day_entry__c,success,14538281.0,27.0,22.0,2.0,3.0,
contentdocument,success,1457050.0,27.0,21.0,0.0,6.0,
businesshours,success,15193.0,27.0,22.0,4.0,1.0,
svmxc__sm_checklist_result__c,success,266395.0,27.0,18.0,0.0,9.0,
esmx_account_sales_area__c,success,2028861.0,27.0,17.0,3.0,7.0,
sap2sfdc_timezone__c,success,24730.0,26.0,16.0,3.0,7.0,
svmxc__service_offerings__c,success,4164.0,25.0,13.0,0.0,12.0,
zip_code__c,success,1501762.0,24.0,18.0,2.0,4.0,
esmx_billing_plan_line__c,success,763753.0,24.0,12.0,7.0,5.0,
esmx_engineering_responsible_org__c,success,160.0,24.0,20.0,0.0,4.0,
svmxc__parts_discount__c,success,8039947.0,23.0,15.0,0.0,8.0,
svmxc__service__c,success,44.0,23.0,16.0,1.0,6.0,
esmx_solution_reference__c,success,876.0,23.0,18.0,1.0,4.0,
product_group__c,success,23212.0,20.0,13.0,1.0,6.0,
attachment,success,1056153.0,20.0,17.0,0.0,3.0,
checklist_result_header_attachment,success,3564207.0,20.0,16.0,0.0,4.0,
knowledge__ka,success,886.0,19.0,14.0,0.0,5.0,
svmxc__service_template_products__c,success,18900.0,19.0,13.0,0.0,6.0,
esmx_solution__c,success,423.0,18.0,13.0,0.0,5.0,
accountteammember,success,706.0,18.0,17.0,1.0,0.0,
processinstance,success,2781796.0,18.0,18.0,0.0,0.0,
esmx_contract2rsmjct__c,success,192255.0,18.0,15.0,0.0,3.0,
lineitem2assetjunction__c,success,16824848.0,17.0,15.0,0.0,2.0,
global_product_group__c,success,325.0,17.0,12.0,0.0,5.0,
group,success,75039.0,17.0,14.0,1.0,2.0,
pricebookentry,empty,0.0,17.0,,,,
pricebook2,success,1.0,16.0,13.0,0.0,3.0,
recordtype,success,274.0,15.0,13.0,2.0,0.0,
processinstancestep,success,5448663.0,15.0,10.0,5.0,0.0,
permissionsetgroup,success,77.0,15.0,14.0,0.0,1.0,
esmx_product_hierarchy__c,success,377.0,14.0,12.0,0.0,2.0,
accountshare,success,9572554.0,13.0,13.0,0.0,0.0,
casearticle,success,6797.0,13.0,13.0,0.0,0.0,
svmxc__service_order__history,success,243898956.0,11.0,10.0,1.0,0.0,
svmxc__site__history,success,1712185.0,11.0,11.0,0.0,0.0,
defoa__history,success,794286.0,11.0,10.0,1.0,0.0,
svmxc__service_order_line__history,success,253949266.0,11.0,10.0,1.0,0.0,
da_svmxc_service_order_line__b,success,79161.0,11.0,11.0,0.0,0.0,
da_svmxc_service_order__b,success,29524.0,11.0,11.0,0.0,0.0,
casehistory,success,151309301.0,11.0,11.0,0.0,0.0,
svmxc__warranty__history,success,40886811.0,11.0,11.0,0.0,0.0,
accounthistory,success,11975454.0,11.0,11.0,0.0,0.0,
svmxc__service_offerings__history,success,4148.0,11.0,9.0,0.0,2.0,
svmxc__case_line__history,success,13353335.0,11.0,10.0,1.0,0.0,
svmxc__service_level__history,success,125.0,11.0,9.0,2.0,0.0,
svmxc__quote_line__history,success,6018167.0,11.0,9.0,1.0,1.0,
svmxc__installed_product__history,success,586950234.0,11.0,10.0,1.0,0.0,
svmxc__parts_discount__history,success,7964697.0,11.0,9.0,0.0,2.0,
product_group__history,success,20054.0,11.0,9.0,1.0,1.0,
product2history,success,9510020.0,11.0,11.0,0.0,0.0,
svmxc__quote__history,success,22023972.0,11.0,11.0,0.0,0.0,
esmx_contract_header__history,success,991694.0,11.0,10.0,1.0,0.0,
esmx_risk_sharing_model__history,success,901423.0,11.0,11.0,0.0,0.0,
svmxc__service_contract__history,success,23886930.0,11.0,11.0,0.0,0.0,
svmxc__service_contract_products__history,success,10359014.0,11.0,9.0,0.0,2.0,
svmxc__service_group_members__history,success,210329.0,11.0,11.0,0.0,0.0,
caseshare,success,155166332.0,10.0,10.0,0.0,0.0,
da_task__b,success,2879597.0,10.0,10.0,0.0,0.0,
svmxc__service_contract__share,success,15438213.0,10.0,10.0,0.0,0.0,
svmxc__installed_product__share,success,363081763.0,10.0,10.0,0.0,0.0,
svmxc__site__share,success,2902160.0,10.0,10.0,0.0,0.0,
da_note__b,success,952.0,9.0,9.0,0.0,0.0,
permissionsetassignment,success,295620.0,9.0,7.0,1.0,1.0,
knowledge__viewstat,success,21850.0,8.0,8.0,0.0,0.0,
groupmember,success,92214.0,6.0,6.0,0.0,0.0,
metadata,success,10973.0,4.0,4.0,0.0,0.0,
