table_name,column_name,column_value
imax_case_line,Awaiting_Market_Input_Total_Duration__c,1560.47
imax_case_line,BG__c,
imax_case_line,ESMX_Account__c,001E000001XsEHhIAN
imax_case_line,ESMX_Account_Region__c,NA
imax_case_line,ESMX_Action_Completion_Date__c,4/1/24 06:50
imax_case_line,ESMX_Action_Due_Date__c,9/21/21 00:00
imax_case_line,ESMX_Action_Owner__c,005E00000086SwaIAE
imax_case_line,ESMX_Action_Owner_Level_from_PB__c,
imax_case_line,ESMX_Action_Owner_Name__c,Zuzanna Noremberg
imax_case_line,ESMX_Action_Owner_Role__c,TPR Approver
imax_case_line,ESMX_Action_Progressing_Age__c,999.99
imax_case_line,ESMX_Action_Req_Age__c,1614.09
imax_case_line,ESMX_Action_Request_Accepted__c,4/1/24 06:21
imax_case_line,ESMX_Action_Request_Age__c,999.97
imax_case_line,ESMX_Action_Request_Created__c,4/1/24 06:50
imax_case_line,ESMX_Action_Request_Initial_Response__c,99.98
imax_case_line,ESMX_Action_Status__c,Reject
imax_case_line,ESMX_Action_Title__c,zweiter EPIQCVX  EHA : 045.WFSZ.2ANE.3
imax_case_line,ESMX_ActionOwnerIsCurrentUser__c,0
imax_case_line,ESMX_Awaiting_Ext_Vendor_Total_Duration__c,321.18
imax_case_line,ESMX_Awaiting_External_Vendor_Time_Stamp__c,3/27/24 21:19
imax_case_line,ESMX_Awaiting_Market_Input_datetime2__c,
imax_case_line,ESMX_Awaiting_R_D_Fix_datetime2__c,
imax_case_line,ESMX_Awaiting_R_D_Fix_Total_Duration__c,1190.31
imax_case_line,ESMX_Awaiting_R_D_Input_datetime2__c,
imax_case_line,ESMX_Awaiting_R_D_Input_Total_Duration__c,1154.04
imax_case_line,ESMX_BU_Decided_Not_to_Fix_datetime2__c,
imax_case_line,ESMX_BU_DecidedNot_to_Fix_Total_Duration__c,36.69
imax_case_line,ESMX_BU_External_Reference__c,YES
imax_case_line,ESMX_BU_Internal_Reference__c,Zip code: 25401
imax_case_line,ESMX_BU_InvolvementNotRequired_datetime2__c,
imax_case_line,ESMX_BUInvolvementNotReqdTotalDuration__c,0.05
imax_case_line,ESMX_Business_Group__c,US-Ultrasound
imax_case_line,ESMX_Business_Unit__c,VTL-Virtual Organization
imax_case_line,ESMX_Case_Event_Type__c,Void/Error
imax_case_line,ESMX_Case_Subject__c, X5-1c probe with S/N#:  F07M5V did not display an image on ultrasound system.
imax_case_line,ESMX_CIN__c,ZPH003655
imax_case_line,ESMX_Completed_datetime2__c,
imax_case_line,ESMX_Completed_Total_Duration__c,64.58
imax_case_line,ESMX_Country__c,ZW
imax_case_line,ESMX_Customer_Inventory_Number__c,
imax_case_line,ESMX_Customer_Temperature__c,Yellow
imax_case_line,ESMX_DateTime_BUMandatory_assigned_to_L3__c,4/1/24 16:30
imax_case_line,ESMX_ERO__c,E0326-ERO - Best - Healthcare Transformation Services
imax_case_line,ESMX_Escalation_Title__c,Z-score values are not being populated in report
imax_case_line,ESMX_EscalationNonWoEventCount__c,10
imax_case_line,ESMX_Event_Subtype__c,Technical Support for Trade Partner
imax_case_line,ESMX_FCO_Number__c,FCO86600072
imax_case_line,ESMX_Hub__c,Service Parts Supply Chain
imax_case_line,ESMX_In_Progress_datetime2__c,
imax_case_line,ESMX_In_Progress_Total_Duration__c,1223.74
imax_case_line,ESMX_Investigated_Installed_Product__c,a2WE0000000cYYKMA2
imax_case_line,ESMX_Investigated_Product_Code__c,STELLANT-D
imax_case_line,ESMX_Investigated_Product_Name__c,"ZYM10184, 1810 Holter Analysis Software"
imax_case_line,ESMX_IP_External_Id__c,99655606
imax_case_line,ESMX_IP_Status__c,UNKN - Unknown
imax_case_line,ESMX_Item_Number__c,600020
imax_case_line,ESMX_Labor_Hours__c,796
imax_case_line,ESMX_Modality__c,US
imax_case_line,ESMX_New_datetime2__c,
imax_case_line,ESMX_New_Total_Duration__c,1431.52
imax_case_line,ESMX_PM_History__c,a2g4W00000FWZ5RQAX
imax_case_line,Esmx_PM_Service_Activity__c,Visit 2
imax_case_line,ESMX_Product_Code__c,PB999999
imax_case_line,ESMX_Product_Group__c,P_VI001
imax_case_line,ESMX_Product_Name__c,Z-WK.w_480
imax_case_line,ESMX_Reason_for_Cancellation__c,Zur Reparatur - Bench; Case  0119190698 (New)
imax_case_line,ESMX_Related_Case_Line__c,a2J4W000008yQi9UAE
imax_case_line,ESMX_Sales_Order_Number__c,9200102502
imax_case_line,ESMX_Serial_Number__c,ZP841354-P
imax_case_line,ESMX_Service_Status__c,Work Completed
imax_case_line,ESMX_Service_Team__c,a3ZE0000000c0IOMAY
imax_case_line,ESMX_ServiceStatus__c,Work In Progress
imax_case_line,ESMX_UDI__c,DK1228MR02
imax_case_line,ESMX_UserLogged__c,
imax_case_line,ESMX_Work_Detail__c,a3c4W00000CBZZLQA5
imax_case_line,PF_IPSite__c,???? ??????? ????? ??????
imax_case_line,PF_IPTechId__c,ZAT_VS0002824
imax_case_line,Rec,
imax_case_line,SVMXC__Case__c,5004W00002ZZzzLQAT
imax_case_line,SVMXC__Description__c,wont be serviced
imax_case_line,SVMXC__Entitled_Exchange_Type__c,Return Exchange
imax_case_line,SVMXC__Entitlement_History__c,
imax_case_line,SVMXC__Entitlement_Notes__c,Unable to locate
imax_case_line,SVMXC__Entitlement_Status__c,Warranty
imax_case_line,SVMXC__Installed_Product__c,a2WE0000000cQVUMA2
imax_case_line,SVMXC__Line_Status__c,Open
imax_case_line,SVMXC__Location__c,a3mE0000000bmUlIAI
imax_case_line,SVMXC__Priority__c,Low
imax_case_line,SVMXC__Product__c,01tE0000009ZOU1IAO
