table,status,rows,columns,trusted,neutral,dead,error
opportunity,success,3774716.0,865.0,311.0,103.0,451.0,
deal_support_request_del__c,success,2018311.0,770.0,174.0,151.0,445.0,
event,success,20547255.0,768.0,57.0,135.0,576.0,
account,success,1345034.0,671.0,142.0,73.0,456.0,
opportunityfieldhistory,success,19067437.0,624.0,11.0,0.0,613.0,
accounthistory,success,16646176.0,624.0,9.0,137.0,478.0,
contacthistory,success,5508008.0,624.0,9.0,156.0,459.0,
lead,success,1616140.0,440.0,132.0,69.0,239.0,
contact,success,1988889.0,412.0,114.0,44.0,254.0,
profile,success,243.0,397.0,355.0,37.0,5.0,
trade_in_request__c,success,139871.0,388.0,104.0,92.0,192.0,
user,success,69155.0,318.0,186.0,33.0,99.0,
opportunitylineitem,success,7581380.0,261.0,77.0,66.0,118.0,
case,success,525416.0,215.0,47.0,41.0,127.0,
events__c,success,17047.0,213.0,98.0,37.0,78.0,
account_plan__c,success,2963.0,212.0,61.0,37.0,114.0,
product2,success,108093.0,210.0,93.0,21.0,96.0,
asset,success,26868298.0,181.0,80.0,16.0,85.0,
task,success,41833892.0,150.0,48.0,9.0,93.0,
quotation__c,success,1561317.0,135.0,82.0,15.0,38.0,
campaign,success,90410.0,127.0,62.0,13.0,52.0,
sales_order_line__c,success,9433634.0,125.0,54.0,32.0,39.0,
sales_order__c,success,3295092.0,114.0,52.0,26.0,36.0,
contractlineitem,success,8266536.0,110.0,42.0,40.0,28.0,
order_management_activity__c,success,272630.0,95.0,37.0,27.0,31.0,
b2b_src_activity_management__c,success,409770.0,83.0,38.0,3.0,42.0,
strategic_initiatives_for_whitespaces__c,success,6335.0,79.0,24.0,15.0,40.0,
emt_event_simple__c,success,6248.0,75.0,59.0,7.0,9.0,
cpm_chapter_related_info__c,success,541647.0,69.0,24.0,8.0,37.0,
quotation_line__c,success,10376921.0,69.0,47.0,5.0,17.0,
opportunity_score__c,success,9310.0,68.0,25.0,6.0,37.0,
project_contacts__c,success,836406.0,58.0,26.0,17.0,15.0,
kol_event__c,success,191.0,52.0,25.0,13.0,14.0,
deal_complexity_assessment__c,success,10859.0,51.0,34.0,13.0,4.0,
actionable_item__c,success,9141.0,51.0,30.0,5.0,16.0,
jiffle__meeting__c,success,2266.0,50.0,30.0,3.0,17.0,
sales_activity_capture__c,success,143463.0,49.0,15.0,1.0,33.0,
product_hierarchy__c,success,10730.0,48.0,36.0,0.0,12.0,
contentversion,success,2838631.0,48.0,35.0,2.0,11.0,
src_forecast__c,success,129767.0,48.0,33.0,1.0,14.0,
account_plan_quality__c,success,1108.0,48.0,38.0,5.0,5.0,
cpm_professional_services_product__c,success,4946.0,44.0,20.0,16.0,8.0,
kol_activity__c,success,2017.0,43.0,18.0,7.0,18.0,
psa_swo__c,success,92145.0,42.0,29.0,4.0,9.0,
jiffle__invites__c,success,10410.0,40.0,26.0,3.0,11.0,
objective_account_plan__c,success,4402.0,39.0,20.0,6.0,13.0,
opportunity_ecosystem__c,success,749570.0,38.0,29.0,6.0,3.0,
kol_file__c,success,218.0,37.0,18.0,9.0,10.0,
ffps_phmc__meeting_line__c,success,889173.0,34.0,22.0,1.0,11.0,
event_metrics__c,success,16316.0,34.0,13.0,9.0,12.0,
deal_board__c,success,4385.0,34.0,20.0,8.0,6.0,
kol_group__c,success,213.0,33.0,19.0,6.0,8.0,
department_information__c,success,1916.0,32.0,18.0,9.0,5.0,
kol_relationship__c,success,4391.0,31.0,21.0,4.0,6.0,
account_external_reference__c,success,1286186.0,30.0,23.0,3.0,4.0,
forecastingitem,success,14393563.0,30.0,22.0,2.0,6.0,
asset__c,success,4152717.0,30.0,13.0,0.0,17.0,
jiffle__event__c,success,53.0,30.0,21.0,0.0,9.0,
jiffle__attendee__c,success,3985.0,30.0,21.0,0.0,9.0,
key_stakeholder__c,success,3461.0,29.0,21.0,2.0,6.0,
cpm_product_entitlements__c,success,440.0,29.0,22.0,3.0,4.0,
emt_event_budget__c,success,4870.0,28.0,21.0,2.0,5.0,
site_visit_report__c,success,14376.0,27.0,19.0,5.0,3.0,
pre_emt_event__c,success,516.0,27.0,23.0,0.0,4.0,
clinical_documentation_lines__c,success,25891.0,26.0,12.0,10.0,4.0,
swot_account_plan__c,success,1391.0,25.0,18.0,2.0,5.0,
sub_territory__c,success,866.0,25.0,16.0,2.0,7.0,
cpm_key_date_audit_trail__c,success,4564564.0,25.0,20.0,3.0,2.0,
account_organization_information__c,success,1085230.0,25.0,22.0,0.0,3.0,
forecastingtype,success,29.0,25.0,23.0,0.0,2.0,
territory2,success,2086.0,24.0,17.0,5.0,2.0,
linkleadoppty__c,success,63535.0,24.0,17.0,3.0,4.0,
territory__c,success,471.0,24.0,15.0,2.0,7.0,
emt_event_roadshow__c,success,298.0,24.0,19.0,0.0,5.0,
project_order_link_junction__c,success,6931.0,24.0,16.0,2.0,6.0,
asset_opportunity_link__c,success,1392119.0,24.0,21.0,0.0,3.0,
ffps_phmc__meeting_attendees__c,success,141808.0,24.0,21.0,0.0,3.0,
accountteammember,success,2634267.0,22.0,20.0,1.0,1.0,
ffps_phmc__meeting_checklist__c,success,58564.0,22.0,15.0,3.0,4.0,
kol_reference_site_relationship__c,success,147.0,22.0,16.0,2.0,4.0,
affiliates__c,success,16640.0,21.0,13.0,3.0,5.0,
activityfieldhistory,success,311621.0,21.0,17.0,0.0,4.0,
region__c,success,4522.0,21.0,17.0,0.0,4.0,
emt_event_metrics__c,success,43828.0,21.0,16.0,1.0,4.0,
emt_event_business__c,success,9513.0,21.0,18.0,0.0,3.0,
opportunitycontactrole,success,496601.0,21.0,15.0,5.0,1.0,
pricebookentry,success,9342125.0,20.0,18.0,2.0,0.0,
forecastingquota,success,290690.0,20.0,18.0,1.0,1.0,
userrole,success,7356.0,19.0,15.0,2.0,2.0,
opportunityhistory,success,21988166.0,17.0,15.0,2.0,0.0,
pre_emt_approvers__c,success,313.0,16.0,14.0,0.0,2.0,
m2o_magcodemapping__c,success,592.0,16.0,14.0,0.0,2.0,
recordtype,success,460.0,15.0,13.0,2.0,0.0,
datedconversionrate,success,3154.0,12.0,12.0,0.0,0.0,
deal_support_request_del__history,success,10746454.0,11.0,10.0,1.0,0.0,
opportunity_score__history,success,6311.0,11.0,9.0,0.0,2.0,
objectterritory2association,success,9612786.0,11.0,11.0,0.0,0.0,
leadhistory,success,5454698.0,11.0,11.0,0.0,0.0,
picklistvalueinfo,success,1629.0,10.0,9.0,1.0,0.0,
userterritory2association,success,3202.0,10.0,10.0,0.0,0.0,
metadata,success,11660.0,4.0,4.0,0.0,0.0,
